feature,estimated_price_impact_brl
bathrooms,196.81
front_beach,157.34
bedrooms,62.34
has_elevator,28.95
beds,11.33
accommodates,2.81
pet_friendly,0.66
has_barbecue,-20.27
has_parking,-75.09
