listing_id,link_url,listing_title,business_types,listing_type,property_type,sale_price,rental_price,rental_period,yearly_iptu,monthly_condo_fee,amenities,usable_area,bathrooms,bedrooms,parking_spaces,state,city,suburb,advertiser_name,portal,aquisition_date,area_m2,region,price_per_m2
2720051287,https://www.vivareal.com.br/imovel/apartamento-2-quartos-meia-praia-bairros-itapema-com-garagem-70m2-venda-RS951000-id-2720051287/,"Apartamento venda, 2 vagas, mobiliado em Meia Praia - Itapema - SC",Venda,apartamento,UNIT,951000.0,,<NA>,,470.0,"[""POOL"", ""FURNISHED"", ""ELEVATOR"", ""GATED_COMMUNITY"", ""GYM"", ""PETS_ALLOWED"", ""AIR_CONDITIONING"", ""GOURMET_BALCONY"", ""PARTY_HALL"", ""AMERICAN_KITCHEN"", ""DISABLED_ACCESS"", ""GAMES_ROOM"", ""ELECTRONIC_GATE""]",70,2,2,2,SC,Itapema,Meia Praia,Airton Investimentos Imobiliários Itapema,GRUPOZAP,2025-01-11 00:00:00.000,70.0,meia praia,13585.71
2673397678,https://www.vivareal.com.br/imovel/apartamento-3-quartos-morretes-bairros-itapema-com-garagem-95m2-venda-RS699000-id-2673397678/,"APARTAMENTO MOBILIADO, COM 03 DORMS, SENDO 01 SUITE!!!",Venda,apartamento,UNIT,699000.0,,<NA>,500.0,350.0,"[""POOL"", ""FURNISHED"", ""BARBECUE_GRILL"", ""ELEVATOR"", ""PETS_ALLOWED"", ""AIR_CONDITIONING"", ""PARTY_HALL"", ""BICYCLES_PLACE"", ""AMERICAN_KITCHEN"", ""GAMES_ROOM"", ""DISABLED_ACCESS"", ""ELECTRONIC_GATE""]",95,2,3,1,SC,Itapema,Morretes,Nei Costa,GRUPOZAP,2025-01-11 00:00:00.000,95.0,morretes,7357.89
2729166624,https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-sao-bento-bairros-itapema-69m2-venda-RS581000-id-2729166624/,"APARTAMENTO RESIDENCIAL em ITAPEMA - SC, Alto São Bento",Venda,apartamento,UNIT,581000.0,,<NA>,,,"[""POOL"", ""BARBECUE_GRILL"", ""GATED_COMMUNITY"", ""GOURMET_SPACE"", ""PLAYGROUND"", ""CHILDRENS_POOL"", ""PARTY_HALL"", ""BICYCLES_PLACE"", ""CONCIERGE_24H"", ""ADULT_GAME_ROOM"", ""SAUNA"", ""DECK""]",69,3,2,0,SC,Itapema,Alto São Bento,Corretora Realiza Imóveis,GRUPOZAP,2025-01-11 00:00:00.000,69.0,alto são bento,8420.29
2560636988,https://www.vivareal.com.br/imovel/sobrado-2-quartos-morretes-bairros-itapema-com-garagem-85m2-venda-RS590001-id-2560636988/,"Sobrados com 02 Suítes, alto padrão, estilo neoclássico!!! Morretes Itapema",Venda,casa,UNIT,590001.0,,<NA>,500.0,0.0,"[""BARBECUE_GRILL"", ""BALCONY"", ""PETS_ALLOWED"", ""AIR_CONDITIONING"", ""SERVICE_AREA"", ""BICYCLES_PLACE"", ""DISABLED_ACCESS"", ""ELECTRONIC_GATE""]",85,3,2,2,SC,Itapema,Morretes,Nei Costa,GRUPOZAP,2025-01-11 00:00:00.000,85.0,morretes,6941.19
2760094110,https://www.vivareal.com.br/imovel/apartamento-2-quartos-meia-praia-bairros-itapema-com-garagem-70m2-venda-RS695000-id-2760094110/,APARTAMENTO - MEIA PRAIA - SC,Venda,apartamento,UNIT,695000.0,,<NA>,700.0,460.0,"[""POOL"", ""FURNISHED"", ""BARBECUE_GRILL"", ""ELEVATOR"", ""PETS_ALLOWED"", ""AIR_CONDITIONING"", ""SERVICE_AREA"", ""PARTY_HALL"", ""NEAR_HOSPITAL"", ""CABLE_TV"", ""HEATING"", ""ADULT_GAME_ROOM""]",70,2,2,1,SC,Itapema,Centro,Leardi Sao Jose 288 - CRECI: 54756F,GRUPOZAP,2025-01-11 00:00:00.000,70.0,centro,9928.57
2764743233,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-67m2-venda-RS697131-id-2764743233/,Imóvel para venda tem 67 metros quadrados com 2 quartos em Morretes - Itapema - SC,Venda,apartamento,UNIT,697131.0,,<NA>,,,"[""POOL"", ""FURNISHED"", ""BARBECUE_GRILL"", ""ELEVATOR"", ""GATED_COMMUNITY"", ""GYM"", ""PETS_ALLOWED"", ""GOURMET_SPACE"", ""AIR_CONDITIONING"", ""GARDEN"", ""PLAYGROUND"", ""GOURMET_BALCONY"", ""PARTY_HALL"", ""SPORTS_COURT"", ""BICYCLES_PLACE"", ""CONCIERGE_24H"", ""CLOSET"", ""AMERICAN_KITCHEN"", ""FIREPLACE"", ""LAUNDRY"", ""ELECTRONIC_GATE"", ""GAMES_ROOM"", ""DISABLED_ACCESS"", ""COWORKING"", ""CINEMA""]",67,2,2,1,SC,Itapema,Morretes,C.A NEGÓCIOS IMOBILIÁRIOS,GRUPOZAP,2025-01-11 00:00:00.000,67.0,morretes,10404.94
2763091014,https://www.vivareal.com.br/imovel/apartamento-1-quartos-morretes-bairros-itapema-com-garagem-43m2-venda-RS560000-id-2763091014/,Apartamento - 1 dormitório - 1 Suíte - localizado em Itapema / Morretes REF: DW463514,Venda,apartamento,UNIT,560000.0,,<NA>,,,"[""POOL"", ""BARBECUE_GRILL"", ""ELEVATOR"", ""GYM"", ""KITCHEN"", ""INTERCOM"", ""ADULT_GAME_ROOM""]",43,2,1,1,SC,Itapema,Morretes,SOLLO48 LITORAL,GRUPOZAP,2025-01-11 00:00:00.000,43.0,morretes,13023.26
2560637037,https://www.vivareal.com.br/imovel/sobrado-2-quartos-morretes-bairros-itapema-com-garagem-80m2-venda-RS580000-id-2560637037/,"Sobrados com 02 suítes, Ótimo padrão de acabamento!!! Morretes Itapema",Venda,casa,UNIT,580000.0,,<NA>,0.0,0.0,"[""BARBECUE_GRILL"", ""BALCONY"", ""PETS_ALLOWED"", ""AIR_CONDITIONING"", ""SERVICE_AREA"", ""BICYCLES_PLACE"", ""DISABLED_ACCESS"", ""ELECTRONIC_GATE""]",80,3,2,2,SC,Itapema,Morretes,Nei Costa,GRUPOZAP,2025-01-11 00:00:00.000,80.0,morretes,7250.0
2590052907,https://www.vivareal.com.br/imovel/apartamento-3-quartos-itapema-com-garagem-130m2-venda-RS1150000-id-2590052907/,Apartamento para venda possui 130 metros quadrados com 3 quartos,Venda,apartamento,UNIT,1150000.0,,<NA>,,,"[""POOL"", ""BARBECUE_GRILL"", ""ELEVATOR"", ""GYM"", ""GOURMET_SPACE"", ""GARDEN"", ""PLAYGROUND"", ""PARTY_HALL"", ""CONCIERGE_24H"", ""LAUNDRY"", ""GAMES_ROOM"", ""SAUNA"", ""SPA"", ""ELECTRONIC_GATE""]",130,3,3,2,SC,Itapema,"",Calu Noldin de Mafra,GRUPOZAP,2025-01-11 00:00:00.000,130.0,"",8846.15
2561990856,https://www.vivareal.com.br/imovel/sobrado-3-quartos-morretes-bairros-itapema-115m2-venda-RS720000-id-2561990856/,"Sobrados com 03 dorm., sendo 01 suíte, 02 Vagas!!! Morretes",Venda,casa,UNIT,720000.0,,<NA>,500.0,0.0,"[""BARBECUE_GRILL"", ""PETS_ALLOWED"", ""AIR_CONDITIONING"", ""BICYCLES_PLACE"", ""DISABLED_ACCESS"", ""ELECTRONIC_GATE"", ""COWORKING""]",115,3,3,0,SC,Itapema,Morretes,Nei Costa,GRUPOZAP,2025-01-11 00:00:00.000,115.0,morretes,6260.87
